comment,rating,thumbsUpCount,at
ok semoga sukses selalu..,5,0,2025-04-13 14:19:27
bagusss sekaliii,5,0,2025-04-13 13:29:29
Kenapa aku gak bisa beli tiket yg 1Get 1 ya,4,0,2025-04-13 11:28:39
"pas promo sering error, terkadang udah waktunya promo dan masih awal waktu, banyak kursi yg blm di booking tapi tidak muncul promonya",1,0,2025-04-13 11:22:14
"saya mau daftar kok ga bisa weyy.... edit: sudah bisa, mantap 👍👍",5,0,2025-04-13 08:44:14
"Buat Emak2 Gaptek yg mager ngantri jam tayang film,ini ngebantu banget sih.Bisa pilih jam tayang, pilah pilih film juga lewat hp, tinggal geser2,klik.Payment.Udah.Aplikasinya juga mudah... Cakep.",5,3,2025-04-13 08:23:19
semangat uploadnya,5,0,2025-04-13 08:19:13
Tadi nya saya kasih bintang 5 tapi gara2 kemaren ada masalah sama pembelian tiket & respon customer service lama saya kecewa,5,0,2025-04-13 07:46:25
oke sudah lancar,5,1,2025-04-13 06:47:31
gk bagus.masak aku udah pesen udah bayar udah dikonfirmasi jg di apknya tpi pas waktu mau tukar gk bisa tulisannya nmr hp tidak ditemukan pdhl nmr masih aktif kuota jg masih bnyk pas mau ngehubungin customer servis jg gk bisa duitnya gk balik lgi,1,1,2025-04-13 06:43:21
eror gabisa bikin akun yang jagain server kurang pro,2,0,2025-04-13 05:35:06
gangguan terus gabisa bikin akun,2,0,2025-04-13 05:34:07
"tiket murah, praktis dan tanpa ribet",5,0,2025-04-13 05:28:08
"Susah amat buat pesan tiketnya. Bukan susah gunain aplikasinya. Tapi karena selalu bermasalah aplikasinya. Belum lagi banyak ulasan yang katanya uang tidak di refund, sedangkan uang di e-wallet sudah kepotong. Baru juga mau pakai ni aplikasi. Karena ada promonya. Begitu promonya sudah habis, baru lancar aplikasinya. parah sih",3,1,2025-04-13 04:42:16
butuh jaringan 6G biar bisa lancar mesan tiketnya aplikasi apaan dah,2,0,2025-04-13 04:31:33
"aplikasinya gak jelas muter"" Mulu mau beli nih bukan mau minta",1,0,2025-04-13 04:24:44
"muter-muter terus gak bisa mesen tiket, selalu muncul tulisan ada kendala padahal sinyal bagus, tolong aplikasi dibenerin lagi ,kalo begini pengguna bakalan ninggalin inih aplikasi",1,0,2025-04-13 04:23:49
ga bisa di buka,1,0,2025-04-13 04:11:57
"applikasi sering gangguan , loading lama",1,0,2025-04-13 04:11:55
"biasanya saya tidak pernah bermasalah menggunakan tix id, tetapi hari ini saya tidak bisa memesan melalui tix id",5,0,2025-04-13 04:11:50
lemot mau login aja kagak bisa bisa,1,0,2025-04-13 04:11:27
eror mulu setiap gw mau mesan tiket,1,0,2025-04-13 04:10:32
"muter teross, niat buat aplikasi ga",1,0,2025-04-13 04:09:45
busuk servernya,1,0,2025-04-13 03:56:57
"Aplikasinya error setiap promo, padahal jaringan oke² aja. sebenernya niat ngasih promo apa engga sih😂",2,0,2025-04-13 03:55:41
banyak erornya,2,0,2025-04-13 03:54:31
kok setiap mau msuk ke tix suruh coba lagi ada apa yah? udah smpe di uninstal masih sama tulisannya coba lagi trus..tolong diperbaiki mkshh🙏,1,1,2025-04-13 03:52:17
saya daritadi bukaa selalu ada kendala kenapa ya,2,0,2025-04-13 03:51:13
aplikasi suka ngebug padahal jaringan bagus,1,0,2025-04-13 03:51:07
jadwal mepet aplikasi error apakah bisa refund tiket,1,0,2025-04-13 03:51:05
apalaahh aplikasi nya gabisa dibuka mana udh beli tikett lagii buat jam 12 hari ini😭,1,0,2025-04-13 03:51:02
"Ini knp y baru instal gk bisa dibuka. Udah lebih dr 5menit tulisan tix id background biru dongker gk berubah-ubah. Stuk disitu aja drtd. Update : ada pop up bertuliskan ""ada kendala, coba ulangi beberapa saat lagi"" Ps. Bintang akan di rubah jika apk sudah bisa dibuka.",1,1,2025-04-13 03:50:40
aplikasi error saat pesan tiket saat ini aplikasi lemot di saat orang mau nonton pesan tiket tak bisa,1,1,2025-04-13 03:47:53
sulit di akses,1,0,2025-04-13 03:45:33
lemot banget aplikasinya,1,0,2025-04-13 03:34:51
"mumpung ada promo mau nonton eh pas beli susah dapet tiket nya, loading terus.. tingaktin lagi dong..",2,0,2025-04-13 03:34:40
"""ada kendala cobalah beberapa saat lagi"" setiap buka aplikasi slalu seperti itu.",1,0,2025-04-13 03:32:21
gabisa di buka,1,0,2025-04-13 03:29:23
ini sih aplikasi bagus... tapi kok bisa ya ada orang mau beli orderan film di tanggal jauh2 hari sebelum tayang loadingnya itunya loh mutar mutar terus terus lamaa lagi..,3,0,2025-04-13 03:28:42
"Aplikasi error, loading stuck, nggak bisa beli tiket, pas install ulang stuck di loading home screen tix doang",1,0,2025-04-13 03:28:35
"tolong perbaiki skrg dong ,kok aplikasi nya ngebug gak bisa dibuka stuck di logo tix nya sejak open app nya",2,0,2025-04-13 03:26:41
"apk sampah, gak bisa dipake",1,0,2025-04-13 03:22:59
"aplikasi cacat, giliran ada promo malah crash!!! kocag",1,0,2025-04-13 03:22:58
eror terus... mau pesan gagal terus.. dicoba di semua hape sama saja.,1,0,2025-04-13 03:21:57
KENDALA TERUS SAMPE MAU NONTON FILM PUN GABISA TOLONG BANGET NIH YA LU UBAH APPNYA BIAR GA KENDALA LAGI.,1,0,2025-04-13 03:21:34
apk rusak error terus ga kebuka buka,1,0,2025-04-13 03:19:57
"udh pesen tiket udh bayar tapi tiba-tiba kursinya udh di booking duluan, uang ga balik gmn si 💔",1,0,2025-04-13 03:14:08
"kendala Mulu gajelas, baiknya ditingkatkan lah masalah kek gitu",1,0,2025-04-13 03:10:34
apliaksi nya berat plus lemottt,2,0,2025-04-13 03:09:36
Aplikasi bikin promo tiket gk jelas Gk bisa di buy kocak promo doang buy on get on,1,0,2025-04-13 03:09:09
"Apaa ni aplikasinya uang saya ga ada di refund baik pihak dana dan aplikasi tix id nya, dari tanggal 9april 2025 sya chat udah kirim bukti ga ada satupun mau tanggung jawab,malahan dipersulit Parah sekali.",1,0,2025-04-13 00:26:21
eror melulu ngak bisa pesan,1,0,2025-04-12 23:04:39
top markotop mau nonton di seluruh lokasi tinggal cek aja dan bayar pun lebih mudah,5,0,2025-04-12 08:32:20
"ada apa ini kok mau mesen tiket gak bisa bisa, lama banget prosesnya, padahal sinyal bagus",1,2,2025-04-12 05:01:53
"promo tiketnya tipu-tipu, padahal nyoba di tanggal promo dan jamnya sesuai tetep gabisa dipakai promo nya. zonkk bgt informasinya nih, padahal baru download dan bikin aku lhoo gabisa juga tuh pakai promonya.",3,0,2025-04-12 03:24:43
Kenapa akhir akhir ini aplikasinya jadi lemot banget ya?? mau beli tiket bioskop ga bisa mulu,1,1,2025-04-12 03:18:09
sangat membantu,5,0,2025-04-11 10:57:37
mantap sangat membantu,5,0,2025-04-10 06:18:11
mesen tiket nggak jelas di refund nya katanya ada kendala hubungan dengan bioskop dana belum di kembalikan mau beli lagi voucher udah tidak promo aneh bngt,2,1,2025-04-10 04:11:45
"kenapa ya,pas mau buka app satu hari setelah donwload pasti selalu error. udah gatau brp kali ini donwload ulang terus",1,0,2025-04-10 04:11:37
"bagus, membantu",5,0,2025-04-10 03:00:49
mau pasang apk udh nyoba brkli2mlh gbsa hm,2,0,2025-04-09 17:28:06
"Uang saya lenyap begitu saja setelah itu saya tidak bisa menonton filmnya, udh gitu uang saya tidak bisa dikembalikan",2,1,2025-04-09 15:08:17
saya cek jadwal minecraft Di cinemapolis balikpapan ada jam 21:00 tapi pas menuju ke cinemanya malah gada jadwalnya aneh. dari pihak cinemapolis Balikpapan menyebutkan bahwa ini kesalahAn aplikasi karna sudah menyita waktu saya saya beri bintang 1. terimakasih. sungguh mengecewakan saya padahal bawa keluarga total 17 orang. semua dari luar kota ingin nonton minecraft.,1,3,2025-04-09 13:24:35
bagus sekali!?¡¿,5,0,2025-04-09 11:02:38
"refund gagal proses pengembaliannya lama sekali, membuat kita mau gamau harus ubah jam nntn karena bangku yg kita mau keburu habis, mau beli lagi gabisa karena dananya aja blm dikembalikan",1,5,2025-04-09 09:07:22
kenapa kode promo gopay tidak dapat digunakan ya? padahal belum pernah dipake promonya,4,0,2025-04-09 08:45:22
mau tuker poin TDK bisa n susah knp kak???,4,0,2025-04-09 06:50:27
"hari ini pesen tiket via tix id pemesanan gagal dan uang tidak di refund dalam kurun waktu yg cepat, hari ini udah ambil cuti dan gagal nonton karna kehabisan tiket di jam yg saya mau saya kecewa karna dana tidak kembali dengan cepat saat proses gagal, sudah di email ke help tix id responnya lambat",1,5,2025-04-09 03:23:21
"Aplikasi ini sangat bagus karena kita tidak perlu repot antri dibioskop untuk beli tiket, tinggal scan aja. Cuman ada biaya tambahan 4000 okelah. yahaha",5,0,2025-04-09 01:35:06
